,Village,Village Latitude,Village Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,New Delhi,28.63095092773437,77.21727752685547,Starbucks Coffee,28.632010831148985,77.21773135560126,Coffee Shop
1,New Delhi,28.63095092773437,77.21727752685547,HOTEL SARAVANA BHAVAN,28.632319466435003,77.21644531748599,South Indian Restaurant
2,New Delhi,28.63095092773437,77.21727752685547,Wenger's,28.633411895746676,77.21829192902194,Bakery
3,New Delhi,28.63095092773437,77.21727752685547,Connaught Place | कनॉट प्लेस (Connaught Place),28.6327309443951,77.22001768275413,Plaza
4,New Delhi,28.63095092773437,77.21727752685547,Pind Balluchi,28.630318339248806,77.21760032761195,North Indian Restaurant
5,New Delhi,28.63095092773437,77.21727752685547,Fabindia,28.63201193420627,77.21772910740421,Clothing Store
6,New Delhi,28.63095092773437,77.21727752685547,Rajdhani Thali,28.62999946326596,77.2204011327264,Indian Restaurant
7,New Delhi,28.63095092773437,77.21727752685547,Johnny Rockets,28.630457,77.219594,Bistro
8,New Delhi,28.63095092773437,77.21727752685547,HOTEL SARAVANA BHAVAN,28.62704114687105,77.21951363035465,South Indian Restaurant
9,New Delhi,28.63095092773437,77.21727752685547,The Imperial,28.625548038159426,77.21866351780929,Hotel
10,New Delhi,28.63095092773437,77.21727752685547,Chaayos,28.631628538643216,77.22036426182864,Café
11,New Delhi,28.63095092773437,77.21727752685547,Naturals Ice Cream,28.634455305513185,77.22213885818994,Ice Cream Shop
12,New Delhi,28.63095092773437,77.21727752685547,Farzi Cafe,28.632580798842707,77.22112484247755,Molecular Gastronomy Restaurant
13,New Delhi,28.63095092773437,77.21727752685547,Aqua,28.628809037571674,77.21563586358091,Lounge
14,New Delhi,28.63095092773437,77.21727752685547,Nando's,28.630946673402416,77.21972076414269,Portuguese Restaurant
15,New Delhi,28.63095092773437,77.21727752685547,Sagar Ratna,28.635487253836967,77.22064969494076,Indian Restaurant
16,New Delhi,28.63095092773437,77.21727752685547,Janpath Street Market,28.628644953888774,77.21915874346587,Flea Market
17,New Delhi,28.63095092773437,77.21727752685547,Immigrants Project - A Cafe in History,28.634055048338602,77.21886681496603,Café
18,New Delhi,28.63095092773437,77.21727752685547,United Coffee House,28.63247672337289,77.2211199789975,Indian Restaurant
19,New Delhi,28.63095092773437,77.21727752685547,Route 04,28.63488981038038,77.22022508672842,Bar
20,New Delhi,28.63095092773437,77.21727752685547,Nizam's Kathi Kabab | निजा़म काठी कबाब,28.634857957123064,77.21946245007211,Indian Restaurant
21,New Delhi,28.63095092773437,77.21727752685547,Odeon Social,28.634414197963707,77.22093550978948,Café
22,New Delhi,28.63095092773437,77.21727752685547,Wenger's Deli,28.633657990718326,77.21813923616,Deli / Bodega
23,New Delhi,28.63095092773437,77.21727752685547,Khan Chacha | खान चाचा | خان چاچا,28.634202294199614,77.22077980678422,Indian Restaurant
24,New Delhi,28.63095092773437,77.21727752685547,Tamasha,28.629663327072745,77.22183483476593,Gastropub
25,New Delhi,28.63095092773437,77.21727752685547,Berco's,28.63240704948879,77.2173230839724,Chinese Restaurant
26,New Delhi,28.63095092773437,77.21727752685547,Fresc Co,28.628415028106655,77.21954938989002,Italian Restaurant
27,New Delhi,28.63095092773437,77.21727752685547,Warehouse Cafe,28.633775293123456,77.22101540430111,Lounge
28,New Delhi,28.63095092773437,77.21727752685547,"The Square, Cafe Coffee Day",28.626639961580253,77.21928786545695,Café
29,New Delhi,28.63095092773437,77.21727752685547,Lord of the drinks,28.631747627958458,77.2168956566553,Bar
30,New Delhi,28.63095092773437,77.21727752685547,Warehouse Cafe,28.63372638697029,77.22102407638606,Café
31,New Delhi,28.63095092773437,77.21727752685547,Barbeque Nation,28.63025338767433,77.22098501777461,BBQ Joint
32,New Delhi,28.63095092773437,77.21727752685547,Unplugged,28.63434534341854,77.22139870930441,Lounge
33,New Delhi,28.63095092773437,77.21727752685547,Kwality Restaurant,28.629743645035568,77.21743130219578,Indian Restaurant
34,New Delhi,28.63095092773437,77.21727752685547,The Spice Route,28.625577291994166,77.21806493444225,Asian Restaurant
35,New Delhi,28.63095092773437,77.21727752685547,Starbucks,28.630105705208507,77.22053962418308,Coffee Shop
36,New Delhi,28.63095092773437,77.21727752685547,Cha Bar | चा बार,28.630920473614825,77.2221936228799,Tea Room
37,New Delhi,28.63095092773437,77.21727752685547,The Beer Cafe,28.629138722281358,77.2196032154717,Beer Garden
38,New Delhi,28.63095092773437,77.21727752685547,1911,28.6255310755684,77.21871499822704,Mediterranean Restaurant
39,New Delhi,28.63095092773437,77.21727752685547,The Embassy,28.633590069941445,77.22122128391564,Bar
40,New Delhi,28.63095092773437,77.21727752685547,Dunkin' Donuts,28.630181868375203,77.21962210391595,Donut Shop
41,New Delhi,28.63095092773437,77.21727752685547,Anand Biryani House,28.62913638616433,77.22012996193826,Indian Restaurant
42,New Delhi,28.63095092773437,77.21727752685547,Odeon Pan Shop,28.634233629735867,77.22079782501127,Food & Drink Shop
43,New Delhi,28.63095092773437,77.21727752685547,Chew,28.632001527203066,77.22270642208512,Asian Restaurant
44,New Delhi,28.63095092773437,77.21727752685547,Madras Coffee House (since 1935),28.63176562734097,77.21646960559119,Coffee Shop
45,New Delhi,28.63095092773437,77.21727752685547,Panchayat Paan Parlour,28.634073264989183,77.22264498769991,Indian Restaurant
46,New Delhi,28.63095092773437,77.21727752685547,Monsoon Salon & Spa Connaught Place,28.63153437940896,77.22230762243271,Salon / Barbershop
