,Neighborhood,City,Latitude,Longitude
105,Mylapore,Chennai,13.044429779052734,80.26693725585938
106,Egmore,Chennai,13.074529647827148,80.2626724243164
107,Chetpet,Chennai,13.072879791259766,80.24566650390625
108,Perungudi,Chennai,12.963520050048828,80.23995208740234
109,Sholinganallur,Chennai,12.897480010986328,80.22863006591797
110,Alandur,Chennai,13.000100135803223,80.20047760009766
111,Adyar,Chennai,13.003029823303223,80.25186920166016
112,Besant Nagar,Chennai,12.99683952331543,80.26692962646484
113,Triplicane,Chennai,13.046560287475586,80.27452850341797
114,T. Nagar,Chennai,13.045390129089355,80.23377990722656
115,Thiruvanmiyur,Chennai,12.937458992004395,80.26013946533203
116,Saidapet,Chennai,13.020259857177734,80.2213134765625
117,Guindy,Chennai,13.004070281982422,80.22013854980469
118,Madipakkam,Chennai,12.964759826660156,80.20864868164062
119,Nanganallur,Chennai,12.976340293884277,80.18750762939453
120,Velachery,Chennai,12.979379653930664,80.21846771240234
121,Taramani,Chennai,12.983010292053223,80.24124908447266
122,Pallikaranai,Chennai,12.954890251159668,80.22296142578125
123,Keelkattalai,Chennai,12.96487045288086,80.19611358642578
124,Kovilambakkam,Chennai,12.940400123596191,80.18705749511719
125,Thoraipakkam,Chennai,12.935409545898438,80.2347183227539
126,Neelankarai,Chennai,12.95009994506836,80.25501251220703
127,Injambakkam,Chennai,12.92628002166748,80.2503662109375
128,Chromepet,Chennai,12.952320098876953,80.14424896240234
129,Pallavaram,Chennai,13.083620071411133,80.28251647949219
130,Tambaram,Chennai,12.92490005493164,80.12816619873047
131,Perungalathur,Chennai,12.897700309753418,80.08963775634766
132,Palavanthangal,Chennai,12.9868803024292,80.186767578125
133,Peerkankaranai,Chennai,12.912210464477539,80.09882354736328
134,Mudichur,Chennai,12.918760299682617,80.07508087158203
135,Vandalur,Chennai,12.895319938659668,80.08872985839844
136,Kolappakkam,Chennai,13.083620071411133,80.28251647949219
137,Mambakkam,Chennai,12.840760231018066,80.16075897216797
138,Palavakkam,Chennai,12.961420059204102,80.2573471069336
139,Varadharajapuram,Chennai,12.924830436706543,80.06844329833984
140,Medavakkam,Chennai,12.92002010345459,80.19156646728516
141,West Mambalam,Chennai,13.038680076599121,80.22286224365234
142,Pazhaverkadu,Chennai,13.083620071411133,80.28251647949219
143,Ponneri,Chennai,13.328100204467773,80.19741821289062
144,Athipattu,Chennai,13.242210388183594,80.3000717163086
145,Sholavaram,Chennai,13.235759735107422,80.16368865966797
146,Minjur,Chennai,13.27853012084961,80.26139068603516
147,Red Hills,Chennai,13.195429801940918,80.1843032836914
148,Ennore,Chennai,13.253129959106445,80.32215118408203
149,Avadi,Chennai,13.129059791564941,80.10357666015625
150,Pattabiram,Chennai,13.121259689331055,80.0639877319336
151,Thirunindravur,Chennai,13.125100135803223,80.04209899902344
152,Iyyappanthangal,Chennai,13.03285026550293,80.13471221923828
153,Kattupakkam,Chennai,13.041520118713379,80.12898254394531
154,Poonamallee,Chennai,13.051630020141602,80.11264038085938
155,Anakaputhur,Chennai,12.981109619140625,80.12918853759766
156,Kundrathur,Chennai,12.99722957611084,80.09229278564453
157,Mangadu,Chennai,13.027017593383789,80.11072540283203
158,Thiruneermalai,Chennai,12.959360122680664,80.11712646484375
159,Thirumudivakkam,Chennai,12.966879844665527,80.09329986572266
160,Keelkattalai,Chennai,12.96487045288086,80.19611358642578
161,Chitlapakkam,Chennai,12.932559967041016,80.1438980102539
162,Chembarambakkam,Chennai,13.04026985168457,80.06436157226562
163,Selaiyur,Chennai,12.918729782104492,80.14540100097656
164,Madambakkam,Chennai,12.904230117797852,80.15878295898438
165,Medavakkam,Chennai,12.92002010345459,80.19156646728516
166,Sithalapakkam,Chennai,12.89015007019043,80.18456268310547
167,Kovilambakkam,Chennai,12.940400123596191,80.18705749511719
168,Nanmangalam,Chennai,12.934269905090332,80.17772674560547
169,Tambaram,Chennai,12.92490005493164,80.12816619873047
170,Ullagaram,Chennai,12.975130081176758,80.19548034667969
171,Urapakkam,Chennai,12.863439559936523,80.069091796875
172,Madipakkam,Chennai,12.964759826660156,80.20864868164062
173,Vandalur,Chennai,12.895319938659668,80.08872985839844
174,Guduvancherry,Chennai,12.972545623779297,80.1263656616211
175,Karapakkam,Chennai,12.915949821472168,80.23191833496094
176,Kanathur,Chennai,12.870089530944824,80.24471282958984
177,Muttukadu,Chennai,12.830924987792969,80.24188995361328
178,Kelambakkam,Chennai,12.83696,80.15532
179,Kovalam,Chennai,12.789850234985352,80.24909973144531
180,Siruseri,Chennai,12.834540367126465,80.22210693359375
