,Village,Village Latitude,Village Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Summary,Venue Type
45,Keshav Puram,28.68800926208496,77.15866088867188,D Mall,28.692602163998377,77.15274733819133,Shopping Mall,This spot is popular,general
46,Keshav Puram,28.68800926208496,77.15866088867188,Major Dhyanchand Sports Complex.,28.689481966742875,77.16352775733044,Basketball Court,This spot is popular,general
47,Keshav Puram,28.68800926208496,77.15866088867188,Keshavpuram Metro Station,28.684354917616023,77.1640725698628,Train Station,This spot is popular,general
48,Keshav Puram,28.68800926208496,77.15866088867188,Nizam's Kathi Kabab,28.691696472513915,77.15192321995401,Asian Restaurant,This spot is popular,general
49,Keshav Puram,28.68800926208496,77.15866088867188,Kanhaiya Nagar | कन्हैया नगर  Metro Station,28.68223129562289,77.1648027270765,Light Rail Station,This spot is popular,general
50,Kingsway Camp,28.71169090270996,77.2020492553711,pizza hut netaji subhash place,28.70699614936645,77.20462319719917,Pizza Place,This spot is popular,general
51,Kingsway Camp,28.71169090270996,77.2020492553711,Tagore Park,28.707988269316925,77.19960917055842,Playground,This spot is popular,general
52,Kingsway Camp,28.71169090270996,77.2020492553711,Golu Molu Communications,28.71570421032449,77.20648527145386,Mobile Phone Shop,This spot is popular,general
53,Kingsway Camp,28.71169090270996,77.2020492553711,avtar park,28.715917344388014,77.20654340649435,Garden,This spot is popular,general
54,Kingsway Camp,28.71169090270996,77.2020492553711,Gtb Nagar Railway Station,28.707183121238955,77.20675676115992,Train Station,This spot is popular,general
55,Kohat Enclave,28.69655990600586,77.13896179199219,Chunmun Store,28.68997711346211,77.1346271047693,Department Store,This spot is popular,general
56,Kohat Enclave,28.69655990600586,77.13896179199219,Gulab Sweets,28.699974162781096,77.13701091015463,Snack Place,This spot is popular,general
57,Kohat Enclave,28.69655990600586,77.13896179199219,Kohat Enclave Metro Station,28.698066,77.140421,Light Rail Station,This spot is popular,general
58,Kohat Enclave,28.69655990600586,77.13896179199219,JD Market,28.700977549043778,77.13608264923096,Market,This spot is popular,general
59,Kohat Enclave,28.69655990600586,77.13896179199219,Pikwik,28.693364440369326,77.13120524513134,Diner,This spot is popular,general
60,Kohat Enclave,28.69655990600586,77.13896179199219,BTW Food Court,28.689555,77.135137,Indian Restaurant,This spot is popular,general
61,Kohat Enclave,28.69655990600586,77.13896179199219,CCD,28.68971884044455,77.13463227335599,Café,This spot is popular,general
62,Kohat Enclave,28.69655990600586,77.13896179199219,The Good Food Cafe,28.68828560558589,77.13519407188082,Fast Food Restaurant,This spot is popular,general
63,Kohat Enclave,28.69655990600586,77.13896179199219,M2k Pitampura,28.68927666993156,77.1332221474175,Multiplex,This spot is popular,general
64,Model Town,28.718000411987305,77.19159698486328,CCD,28.72367105243035,77.19184908278659,Café,This spot is popular,general
65,Model Town,28.718000411987305,77.19159698486328,videshibazaar.com,28.712123893325746,77.1972906589508,Shopping Mall,This spot is popular,general
66,Narela,28.83976936340332,77.0769271850586,Axis Bank ATM,28.839769363403,77.076927185059,ATM,This spot is popular,general
67,Narela,28.83976936340332,77.0769271850586,Satyam Multiplex,28.846123909330814,77.08334019392127,Multiplex,This spot is popular,general
