,Neighborhood,City,Latitude,Longitude
101,Walkeshwar,Mumbai,18.950040817260742,72.79971313476562
102,Worli,Mumbai,19.007450103759766,72.81690979003906
103,C.G.S. colony,Mumbai,19.027250289916992,72.86937713623047
104,Dagdi Chawl,Mumbai,18.977128982543945,72.82913208007812
105,Ghodapdeo,Mumbai,18.981090545654297,72.84101104736328
106,Navy Nagar,Mumbai,18.90645980834961,72.81493377685547
107,Hindu colony,Mumbai,19.019710540771484,72.84742736816406
108,Parsi Colony,Mumbai,19.019039154052734,72.85150146484375
109,Ballard Estate,Mumbai,18.935409545898438,72.83981323242188
110,Khotachiwadi,Mumbai,18.954849243164062,72.82042694091797
111,Chira Bazaar,Mumbai,18.947389602661133,72.82710266113281
112,Fanas Wadi,Mumbai,18.951980590820312,72.82695007324219
113,Chor Bazaar,Mumbai,18.940170288085938,72.8348617553711
114,Lalbaug,Mumbai,18.99294090270996,72.83837127685547
115,Gowalia Tank,Mumbai,18.964500427246094,72.81118774414062
116,Dava Bazaar,Mumbai,18.946882247924805,72.83135986328125
117,Dharavi,Mumbai,19.04640007019043,72.85446166992188
118,Jankalyan Nagar,Mumbai,19.201940536499023,72.81987762451172
119,Kajuwadi,Mumbai,18.940170288085938,72.8348617553711
120,Koliwada,Mumbai,18.940170288085938,72.8348617553711
121,Koombarwara,Mumbai,18.940170288085938,72.8348617553711
